model_id,model_name,provider,release_date,input_cost_per_1m,output_cost_per_1m,is_open_weight
gpt-4o,GPT-4o,OpenAI,2024-05-13,2.5,10.0,FALSE
gpt-4o-mini,GPT-4o-mini,OpenAI,2024-07-18,0.15,0.6,FALSE
claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,2024-06-20,3.0,15.0,FALSE
claude-3-opus,Claude 3 Opus,Anthropic,2024-03-14,15.0,75.0,FALSE
llama-3-1-405b,Llama 3.1 405B,Meta,2024-07-23,0.0,0.0,TRUE
llama-3-1-70b,Llama 3.1 70B,Meta,2024-07-23,0.0,0.0,TRUE
llama-3-70b,Llama 3 70B,Meta,2024-04-18,0.0,0.0,TRUE
gemini-1-5-pro,Gemini 1.5 Pro,Google,2024-02-15,3.5,10.5,FALSE
gemini-1-5-flash,Gemini 1.5 Flash,Google,2024-05-14,0.35,1.05,FALSE
deepseek-v3,DeepSeek-V3,DeepSeek,2024-12-01,0.14,0.28,TRUE
mistral-large,Mistral Large,Mistral,2024-02-26,2.0,6.0,FALSE
mixtral-8x22b,Mixtral 8x22B,Mistral,2024-04-17,0.0,0.0,TRUE
qwen-2-72b,Qwen2 72B,Alibaba,2024-06-01,0.0,0.0,TRUE
gemma-2-27b,Gemma 2 27B,Google,2024-06-27,0.0,0.0,TRUE
phi-3-medium,Phi-3 Medium,Microsoft,2024-04-23,0.0,0.0,TRUE
claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,2025-03-15,4.0,20.0,FALSE
gpt-5,GPT-5,OpenAI,2025-06-10,5.0,15.0,FALSE
gemini-2-0-pro,Gemini 2.0 Pro,Google,2025-12-01,4.5,12.0,FALSE
llama-4-405b,Llama 4 405B,Meta,2026-01-20,0.0,0.0,TRUE
deepseek-r1,DeepSeek-R1,DeepSeek,2025-02-10,0.2,0.4,TRUE
